اسم المبنى,الموقع,النوع,عدد الشقق
"عمارة 1,""المباني القديمة"",""شقة"",""20"""
"عمارة 2,""المباني القديمة"",""شقة"",""20"""
"عمارة 3,""المباني القديمة"",""شقة"",""20"""
"عمارة 4,""المباني القديمة"",""شقة"",""20"""
"عمارة 5,""المباني القديمة"",""شقة"",""20"""
"عمارة 6,""المباني القديمة"",""شقة"",""20"""
"عمارة 7,""المباني القديمة"",""شقة"",""19"""
"عمارة 8,""المباني القديمة"",""شقة"",""20"""
"عمارة 9,""المباني القديمة"",""شقة"",""20"""
"عمارة 10,""المباني القديمة"",""شقة"",""20"""
"عمارة 11,""المباني القديمة"",""شقة"",""20"""
"عمارة 12,""المباني القديمة"",""شقة"",""19"""
"عمارة 13,""المباني القديمة"",""شقة"",""19"""
"عمارة 14,""المباني القديمة"",""شقة"",""20"""
"عمارة 15,""المباني القديمة"",""شقة"",""20"""
"عمارة 16,""المباني القديمة"",""شقة"",""20"""
"عمارة 17,""المباني القديمة"",""شقة"",""20"""
"عمارة 18,""المباني القديمة"",""شقة"",""20"""
"عمارة 19,""المباني القديمة"",""شقة"",""20"""
"عمارة 20,""المباني القديمة"",""شقة"",""19"""
"عمارة 21,""المباني القديمة"",""شقة"",""20"""
"عمارة 22,""المباني القديمة"",""شقة"",""20"""
"عمارة 23,""المباني القديمة"",""شقة"",""20"""
"عمارة 24,""المباني القديمة"",""شقة"",""20"""
"عمارة 25,""المباني القديمة"",""شقة"",""19"""
"عمارة 26,""المباني القديمة"",""شقة"",""20"""
"عمارة 27,""المباني القديمة"",""شقة"",""20"""
"عمارة 28,""المباني القديمة"",""شقة"",""20"""
"عمارة 29,""المباني القديمة"",""شقة"",""20"""
"عمارة 30,""المباني القديمة"",""شقة"",""19"""
"عمارة 53,""المباني الجديدة"",""شقة"",""20"""
"عمارة 54,""المباني الجديدة"",""شقة"",""20"""
"عمارة 55,""المباني الجديدة"",""شقة"",""20"""
"عمارة 56,""المباني الجديدة"",""شقة"",""20"""
"عمارة 61,""المباني الجديدة"",""شقة"",""20"""
"عمارة 62,""المباني الجديدة"",""شقة"",""20"""
"عمارة 63,""المباني الجديدة"",""شقة"",""20"""
"عمارة 64,""المباني الجديدة"",""شقة"",""20"""
"عمارة 65,""المباني الجديدة"",""شقة"",""20"""
"عمارة 66,""المباني الجديدة"",""شقة"",""20"""
"عمارة 67,""المباني الجديدة"",""شقة"",""20"""
"عمارة 68,""المباني الجديدة"",""شقة"",""20"""
"عمارة 71,""المباني الجديدة"",""شقة"",""20"""
"عمارة 72,""المباني الجديدة"",""شقة"",""20"""
"عمارة 73,""المباني الجديدة"",""شقة"",""20"""
"عمارة 74,""المباني الجديدة"",""شقة"",""20"""
"عمارة 75,""المباني الجديدة"",""شقة"",""20"""
"عمارة 76,""المباني الجديدة"",""شقة"",""20"""
"عمارة 77,""المباني الجديدة"",""شقة"",""20"""
"عمارة 78,""المباني الجديدة"",""شقة"",""20"""
"عمارة 79,""المباني الجديدة"",""شقة"",""20"""
"فلة 1,""منطقة الفلل"",""فلة"",""1"""
"فلة 2,""منطقة الفلل"",""فلة"",""1"""
"فلة 3,""منطقة الفلل"",""فلة"",""1"""
"فلة 4,""منطقة الفلل"",""فلة"",""1"""
"فلة 5,""منطقة الفلل"",""فلة"",""1"""
"فلة 6,""منطقة الفلل"",""فلة"",""1"""
"فلة 7,""منطقة الفلل"",""فلة"",""1"""
"فلة 8,""منطقة الفلل"",""فلة"",""1"""
"فلة 9,""منطقة الفلل"",""فلة"",""1"""
"فلة 10,""منطقة الفلل"",""فلة"",""1"""
"فلة 11,""منطقة الفلل"",""فلة"",""1"""
"فلة 12,""منطقة الفلل"",""فلة"",""1"""
"فلة 13,""منطقة الفلل"",""فلة"",""1"""
"فلة 14,""منطقة الفلل"",""فلة"",""1"""
"فلة 15,""منطقة الفلل"",""فلة"",""1"""
"فلة 16,""منطقة الفلل"",""فلة"",""1"""
"فلة 17,""منطقة الفلل"",""فلة"",""1"""
"فلة 18,""منطقة الفلل"",""فلة"",""1"""
"فلة 19,""منطقة الفلل"",""فلة"",""1"""
"فلة 20,""منطقة الفلل"",""فلة"",""1"""
"فلة 21,""منطقة الفلل"",""فلة"",""1"""
"فلة 22,""منطقة الفلل"",""فلة"",""1"""
"فلة 23,""منطقة الفلل"",""فلة"",""1"""
"فلة 24,""منطقة الفلل"",""فلة"",""1"""
"فلة 25,""منطقة الفلل"",""فلة"",""1"""
"فلة 26,""منطقة الفلل"",""فلة"",""1"""
"فلة 27,""منطقة الفلل"",""فلة"",""1"""
"فلة 28,""منطقة الفلل"",""فلة"",""1"""
"فلة 29,""منطقة الفلل"",""فلة"",""1"""
"فلة 30,""منطقة الفلل"",""فلة"",""1"""
"فلة 31,""منطقة الفلل"",""فلة"",""1"""
"فلة 32,""منطقة الفلل"",""فلة"",""1"""
"فلة 33,""منطقة الفلل"",""فلة"",""1"""
"فلة 34,""منطقة الفلل"",""فلة"",""1"""
"فلة 35,""منطقة الفلل"",""فلة"",""1"""
"فلة 36,""منطقة الفلل"",""فلة"",""1"""
